23,Cement=273,Slag=82,Fly=105,Water=210,SP=9,Coarse=904,Fine=680
0,Cement=163,Slag=149,Fly=191,Water=180,SP=12,Coarse=843,Fine=746
1,Cement=162,Slag=148,Fly=191,Water=179,SP=16,Coarse=840,Fine=743
3,Cement=162,Slag=148,Fly=190,Water=179,SP=19,Coarse=838,Fine=741
20,Cement=154,Slag=112,Fly=144,Water=220,SP=10,Coarse=923,Fine=658
23,Cement=147,Slag=89,Fly=115,Water=202,SP=9,Coarse=860,Fine=829
0,Cement=152,Slag=139,Fly=178,Water=168,SP=18,Coarse=944,Fine=695
14.5,Cement=145,Slag=0,Fly=227,Water=240,SP=6,Coarse=750,Fine=853
15.5,Cement=152,Slag=0,Fly=237,Water=204,SP=6,Coarse=785,Fine=892
19,Cement=304,Slag=0,Fly=140,Water=214,SP=6,Coarse=895,Fine=722
24.5,Cement=145,Slag=106,Fly=136,Water=208,SP=10,Coarse=751,Fine=883
23.75,Cement=148,Slag=109,Fly=139,Water=193,SP=7,Coarse=768,Fine=902
25.5,Cement=142,Slag=130,Fly=167,Water=215,SP=6,Coarse=735,Fine=836
17,Cement=354,Slag=0,Fly=0,Water=234,SP=6,Coarse=959,Fine=691
14.5,Cement=374,Slag=0,Fly=0,Water=190,SP=7,Coarse=1013,Fine=730
23.5,Cement=159,Slag=116,Fly=149,Water=175,SP=15,Coarse=953,Fine=720
12,Cement=153,Slag=0,Fly=239,Water=200,SP=6,Coarse=1002,Fine=684
25,Cement=295,Slag=106,Fly=136,Water=206,SP=11,Coarse=750,Fine=766
20.5,Cement=310,Slag=0,Fly=143,Water=168,SP=10,Coarse=914,Fine=804
15,Cement=296,Slag=97,Fly=0,Water=219,SP=9,Coarse=932,Fine=685
20,Cement=305,Slag=100,Fly=0,Water=196,SP=10,Coarse=959,Fine=705
13,Cement=310,Slag=0,Fly=143,Water=218,SP=10,Coarse=787,Fine=804
0,Cement=148,Slag=180,Fly=0,Water=183,SP=11,Coarse=972,Fine=757
18,Cement=146,Slag=178,Fly=0,Water=192,SP=11,Coarse=961,Fine=749
0,Cement=142,Slag=130,Fly=167,Water=174,SP=11,Coarse=883,Fine=785
23.75,Cement=140,Slag=128,Fly=164,Water=183,SP=12,Coarse=871,Fine=775
25,Cement=308,Slag=111,Fly=142,Water=217,SP=10,Coarse=783,Fine=686
26.5,Cement=295,Slag=106,Fly=136,Water=208,SP=6,Coarse=871,Fine=650
16,Cement=298,Slag=107,Fly=137,Water=201,SP=6,Coarse=878,Fine=655
21.5,Cement=314,Slag=0,Fly=161,Water=207,SP=6,Coarse=851,Fine=757
24,Cement=321,Slag=0,Fly=164,Water=190,SP=5,Coarse=870,Fine=774
20,Cement=349,Slag=0,Fly=178,Water=230,SP=6,Coarse=785,Fine=721
24.75,Cement=366,Slag=0,Fly=187,Water=191,SP=7,Coarse=824,Fine=757
26.5,Cement=274,Slag=89,Fly=115,Water=202,SP=9,Coarse=759,Fine=827
27.5,Cement=137,Slag=167,Fly=214,Water=226,SP=6,Coarse=708,Fine=757
25.75,Cement=275,Slag=99,Fly=127,Water=184,SP=13,Coarse=810,Fine=790
23,Cement=252,Slag=76,Fly=97,Water=194,SP=8,Coarse=835,Fine=821
