0.11,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.125
0.27,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.150
0.47,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.175
0.78,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.200
1.18,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.225
1.82,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.250
2.61,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.275
3.76,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.300
4.99,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.325
7.16,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.350
11.93,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.375
20.11,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.400
32.75,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.425
49.49,X1=-2.3,X2=0.568,X3=4.78,X4=3.99,X5=3.17,X6=0.450
0.04,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.125
0.17,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.150
0.37,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.175
0.66,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.200
1.06,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.225
1.59,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.250
2.33,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.275
3.29,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.300
4.61,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.325
7.11,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.350
11.99,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.375
21.09,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.400
35.01,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.425
51.80,X1=-2.3,X2=0.569,X3=4.78,X4=3.04,X5=3.64,X6=0.450
0.09,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.125
0.29,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.150
0.56,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.175
0.86,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.200
1.31,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.225
1.99,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.250
2.94,X1=-2.3,X2=0.565,X3=4.78,X4=5.35,X5=2.76,X6=0.275
