-0.566937612938,X1=0.611311938771,X2=1.26315247243,X3=0.535743839933
-0.579273146205,X1=0.36199866148,X2=1.06344747398,X3=0.697978939413
-0.0422617247549,X1=0.0171355875224,X2=1.79969804479,X3=0.267772040742
0.135606810881,X1=-0.970077711849,X2=1.59353846937,X3=-0.112328558347
0.248954403386,X1=0.596220150952,X2=1.81492059159,X3=-0.49987182262
-0.422524130815,X1=-0.787803621322,X2=1.9535977328,X3=-0.668896397398
0.560096813005,X1=0.482937238989,X2=1.30159597047,X3=-0.677201046848
0.282179617777,X1=0.0290968474435,X2=1.66653840033,X3=0.698392346694
-0.348815729262,X1=-0.808998600965,X2=1.49800970549,X3=-0.377193385485
0.681554912461,X1=0.822666044146,X2=1.65371757694,X3=-0.604161611388
0.380732910866,X1=-0.579875304088,X2=1.12469005779,X3=0.312890364862
-0.114252845304,X1=-0.0506911935311,X2=1.55950779661,X3=-0.755049940062
-0.94278861092,X1=-0.803035989228,X2=1.00224841914,X3=-0.476464837782
0.407040331122,X1=0.79966031932,X2=1.49571445157,X3=-0.244265843876
0.113876645611,X1=-0.151374238705,X2=1.788654789,X3=-0.107740921792
0.655080628831,X1=0.9727835668,X2=1.30249691808,X3=-0.449628565598
0.45867573964,X1=-0.188296717184,X2=1.73873069186,X3=0.653320983431
0.0731412993286,X1=0.164126933951,X2=1.71168926772,X3=0.656616400295
0.296466580311,X1=-0.0853531618314,X2=1.4276893342,X3=0.945336576642
-0.144035459636,X1=0.807021948369,X2=1.97135647991,X3=0.213699183955
-0.0894526419575,X1=-0.538705398582,X2=1.817325661,X3=0.857142664509
-1.60792354536,X1=-0.87913404638,X2=1.2195855849,X3=-0.746123172855
-1.89411019598,X1=0.947278369744,X2=1.18991679124,X3=0.895235222433
0.531033190922,X1=0.675543386056,X2=1.95686454074,X3=-0.538969988242
-0.432931899568,X1=-0.937428096572,X2=1.59758328041,X3=-0.282975656464
0.381886416914,X1=-0.128833942585,X2=1.12505314095,X3=0.66785648602
-0.289560047844,X1=-0.52788793202,X2=1.58458635305,X3=-0.337442184445
0.640260446433,X1=0.413543250451,X2=1.08085220809,X3=-0.421778591454
-0.252635414124,X1=-0.307341916434,X2=1.43522932951,X3=-0.512716095515
-0.121719952912,X1=0.227986206974,X2=1.25549045264,X3=0.151536880763
0.361924950434,X1=-0.627531072451,X2=1.67860758379,X3=0.70860316528
-0.0190071276235,X1=-0.992756336895,X2=1.09433409567,X3=-0.0165319322407
0.106562439119,X1=-0.158045718152,X2=1.10180991448,X3=-0.268144252948
-0.70874255684,X1=-0.574840919827,X2=1.06817481482,X3=-0.571102571828
-0.615543669049,X1=-0.719649949912,X2=1.92542375705,X3=-0.725286243883
